             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN635582 24566 11/10/2020   11:54:09  11:54:15      6   A5E41637164-04-BOT     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:,84.700,104.625,97.147,0.882,-0.142,198972800,1901778,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:,76.911,99.892,92.393,-0.316,-0.639,180676300,1808708,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:,87.154,106.791,97.934,1.364,-0.692,204737200,1917182,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:D2_04,84.367,100.843,100.394,0.587,-0.636,101101700,1002564,GOOD,4,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:D2_04,85.688,100.085,102.738,-0.475,0.231,102684500,1025975,GOOD,3,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:D2_04,83.905,96.368,104.481,1.150,-0.043,100548700,1043383,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:D2_04,84.337,96.942,104.397,0.277,-0.318,101066100,1042539,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R222_04,85.533,104.705,98.028,-0.425,0.324,295290600,2820226,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R252_04,81.207,99.963,97.485,0.916,0.506,280357300,2804606,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R252_04,80.959,97.056,100.097,0.123,0.164,279500100,2879777,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R222_04,80.240,106.827,90.135,0.655,-0.015,277019200,2593153,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C16_04,77.488,112.160,82.904,0.049,-0.025,44604720,397689,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C16_04,73.374,103.323,85.217,0.129,0.619,42236680,408785,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R1003_04,91.063,111.536,97.973,-0.018,-0.625,45768190,410343,GOOD,1,,32.4um,,45,190,60,230,60,170,0.18,0.18,
1:R1003_04,88.811,105.173,101.332,0.389,0.710,44636600,424413,GOOD,2,,46.7um,,45,190,60,230,60,170,0.18,0.18,
1:C903_04,86.463,122.785,84.502,1.077,-1.918,49771150,405351,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,84.649,110.459,91.961,-0.320,-1.091,48727040,441132,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:,83.044,106.566,93.513,0.811,0.549,195082200,1830633,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:,77.769,99.989,93.333,1.315,0.002,182690000,1827100,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:R110_04,93.919,112.521,100.162,-0.992,0.095,47203790,419511,GOOD,2,,49.2um,,45,190,60,230,60,170,0.18,0.18,
1:R110_04,94.997,110.139,103.502,-0.878,-1.344,47745240,433500,GOOD,1,,45.9um,,45,190,60,230,60,170,0.18,0.18,
1:,85.517,114.131,89.914,-0.064,-1.685,49226650,431315,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:R212_04,90.383,107.891,100.527,-0.189,-0.113,312035400,2892127,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R1005_04,88.571,106.524,99.776,-1.069,0.683,121673700,1142224,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R1005_04,88.454,107.236,98.982,-0.748,0.229,121512200,1133131,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C1035_04,76.338,103.399,88.594,-0.451,-0.639,43942620,424983,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C1035_04,78.091,108.622,86.271,0.019,-1.169,44952160,413839,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C727_04,83.718,114.070,88.070,0.539,1.189,48191150,422469,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:N907_04,97.456,120.397,97.135,0.787,1.203,75158030,624254,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:N907_04,100.538,122.700,98.326,0.830,-0.298,77534780,631906,GOOD,5,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,88.045,108.951,96.974,0.403,-0.082,206829800,1898380,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:,79.418,101.908,93.517,0.642,-0.608,186564200,1830715,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:R232_04,93.036,118.817,93.962,-0.019,0.066,321192900,2703265,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R242_04,89.022,109.759,97.328,-0.026,-0.084,307337500,2800115,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
