             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN634850 24857 11/10/2020   16:43:32  16:43:40      8   A5E41637164-04-TOP     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:X130_04,84.558,137.453,73.821,0.008,-0.325,341617000,2485330,GOOD,3,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:X130_04,85.117,142.008,71.926,0.079,0.066,343875400,2421514,GOOD,4,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:X130_04,84.886,141.972,71.749,0.252,-0.195,342941800,2415568,GOOD,5,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:X130_04,85.592,139.368,73.697,0.544,-0.064,345793400,2481149,GOOD,7,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:X130_04,86.802,144.466,72.102,0.348,0.164,350682200,2427439,GOOD,6,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:X130_04,80.599,132.905,72.773,0.481,-0.357,325622500,2450041,GOOD,8,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C212_04,78.299,118.340,79.397,3.830,0.379,45071540,380866,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C212_04,76.862,117.568,78.452,-0.130,-1.037,44244300,376330,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C902_04,83.011,108.147,92.109,-0.339,-0.175,194925700,1802417,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,86.498,117.712,88.179,-0.394,0.299,49791160,422991,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18,
1:,89.851,121.227,88.942,-0.179,-2.204,51721440,426651,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18,
1:,89.509,115.383,93.091,0.039,-1.985,51524590,446554,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18,
1:,81.229,121.339,100.416,-0.536,0.205,51032010,420574,GOOD,,,68.6um,PART10,45,200,60,230,60,170,0.18,0.18,
1:,81.749,123.285,99.463,0.404,-1.167,51358720,416585,GOOD,,,50.9um,PART10,45,200,60,230,60,170,0.18,0.18,
1:,79.267,123.163,96.539,-0.720,-1.131,49799630,404339,GOOD,,,60.8um,PART10,45,200,60,230,60,170,0.18,0.18,
1:V902_04,88.949,107.914,98.911,-0.061,0.108,555660800,5149102,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C296_04,86.640,112.463,92.446,-0.031,-0.237,203446600,1809004,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C296_04,88.233,112.299,94.284,0.892,-0.814,207188400,1844967,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,75.427,113.334,99.829,0.705,-3.250,47386880,418116,GOOD,,,58.1um,PART10,45,200,60,230,60,170,0.18,0.18,
1:H241_04,95.138,112.948,101.078,0.942,-0.549,58330170,516434,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H240_04,97.193,114.464,101.894,1.347,2.059,59590140,520603,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H200_04,93.071,118.445,94.293,2.567,-2.155,57062940,481768,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H201_04,97.514,122.901,95.213,4.042,0.461,59787340,486468,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R288_04,93.588,111.935,100.332,0.544,0.345,128475800,1147775,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R288_04,93.842,112.848,99.790,-0.615,-0.208,128824700,1141580,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C412_04,97.561,127.029,92.162,3.850,2.094,27470220,216252,GOOD,1,,56.7um,,45,200,60,230,60,170,0.18,0.18,
1:C412_04,83.264,114.103,87.567,2.442,1.418,23444680,205469,GOOD,2,,57.2um,,45,200,60,230,60,170,0.18,0.18,
1:U280_04,86.991,102.966,101.382,1.118,-0.499,40293980,391334,GOOD,14,,81.1um,,45,200,60,230,60,170,0.18,0.18,
1:U280_04,87.474,101.599,103.317,-0.416,0.791,40517870,398802,GOOD,13,,82.3um,,45,200,60,230,60,170,0.18,0.18,
1:U280_04,86.663,103.708,100.278,0.898,0.599,40142390,387071,GOOD,12,,97.7um,,45,200,60,230,60,170,0.18,0.18,
